character,tag,count,novel
ADOLPHUS CROSBIE,N,6,The_Small_House_at_Allington
ADOLPHUS CROSBIE,C,0,The_Small_House_at_Allington
ADOLPHUS CROSBIE,I,0,The_Small_House_at_Allington
ADOLPHUS CROSBIE,A,2,The_Small_House_at_Allington
ADOLPHUS CROSBIE,DC,2,The_Small_House_at_Allington
ADOLPHUS CROSBIE,DN,0,The_Small_House_at_Allington
Alexandrina,N,210,The_Small_House_at_Allington
Alexandrina,C,96,The_Small_House_at_Allington
Alexandrina,I,107,The_Small_House_at_Allington
Alexandrina,A,122,The_Small_House_at_Allington
Alexandrina,DC,30,The_Small_House_at_Allington
Alexandrina,DN,52,The_Small_House_at_Allington
Amelia,N,416,The_Small_House_at_Allington
Amelia,C,232,The_Small_House_at_Allington
Amelia,I,153,The_Small_House_at_Allington
Amelia,A,251,The_Small_House_at_Allington
Amelia,DC,91,The_Small_House_at_Allington
Amelia,DN,48,The_Small_House_at_Allington
Apollos,N,2,The_Small_House_at_Allington
Apollos,C,0,The_Small_House_at_Allington
Apollos,I,0,The_Small_House_at_Allington
Apollos,A,3,The_Small_House_at_Allington
Apollos,DC,4,The_Small_House_at_Allington
Apollos,DN,0,The_Small_House_at_Allington
Bell,N,520,The_Small_House_at_Allington
Bell,C,317,The_Small_House_at_Allington
Bell,I,253,The_Small_House_at_Allington
Bell,A,241,The_Small_House_at_Allington
Bell,DC,178,The_Small_House_at_Allington
Bell,DN,46,The_Small_House_at_Allington
Bernard,N,233,The_Small_House_at_Allington
Bernard,C,105,The_Small_House_at_Allington
Bernard,I,155,The_Small_House_at_Allington
Bernard,A,186,The_Small_House_at_Allington
Bernard,DC,98,The_Small_House_at_Allington
Bernard,DN,78,The_Small_House_at_Allington
Butterwell,N,5,The_Small_House_at_Allington
Butterwell,C,0,The_Small_House_at_Allington
Butterwell,I,1,The_Small_House_at_Allington
Butterwell,A,1,The_Small_House_at_Allington
Butterwell,DC,0,The_Small_House_at_Allington
Butterwell,DN,0,The_Small_House_at_Allington
Caudle,N,16,The_Small_House_at_Allington
Caudle,C,0,The_Small_House_at_Allington
Caudle,I,4,The_Small_House_at_Allington
Caudle,A,5,The_Small_House_at_Allington
Caudle,DC,24,The_Small_House_at_Allington
Caudle,DN,0,The_Small_House_at_Allington
Christopher Dale,N,12,The_Small_House_at_Allington
Christopher Dale,C,0,The_Small_House_at_Allington
Christopher Dale,I,7,The_Small_House_at_Allington
Christopher Dale,A,12,The_Small_House_at_Allington
Christopher Dale,DC,2,The_Small_House_at_Allington
Christopher Dale,DN,6,The_Small_House_at_Allington
Chumpend,N,3,The_Small_House_at_Allington
Chumpend,C,1,The_Small_House_at_Allington
Chumpend,I,2,The_Small_House_at_Allington
Chumpend,A,3,The_Small_House_at_Allington
Chumpend,DC,0,The_Small_House_at_Allington
Chumpend,DN,1,The_Small_House_at_Allington
Colonel Dale,N,7,The_Small_House_at_Allington
Colonel Dale,C,0,The_Small_House_at_Allington
Colonel Dale,I,2,The_Small_House_at_Allington
Colonel Dale,A,1,The_Small_House_at_Allington
Colonel Dale,DC,0,The_Small_House_at_Allington
Colonel Dale,DN,1,The_Small_House_at_Allington
Cradell,N,173,The_Small_House_at_Allington
Cradell,C,118,The_Small_House_at_Allington
Cradell,I,122,The_Small_House_at_Allington
Cradell,A,163,The_Small_House_at_Allington
Cradell,DC,65,The_Small_House_at_Allington
Cradell,DN,28,The_Small_House_at_Allington
Crosbie,N,864,The_Small_House_at_Allington
Crosbie,C,437,The_Small_House_at_Allington
Crosbie,I,633,The_Small_House_at_Allington
Crosbie,A,1003,The_Small_House_at_Allington
Crosbie,DC,406,The_Small_House_at_Allington
